from_stop_id,to_stop_id,transfer_type,min_transfer_time
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5734,A5734,4,0
A5775,A5775,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
A1139,A1139,4,0
